# Integrands of the sigma_i: q^(2-i) * P(q) / (2 pi^2)
# Input Power Spectrum: WideA_ZA_pk.dat
# q 	 integrand_i=0 	 integrand_i=1 	 integrand_i=2 	 integrand_i=3 	 integrand_i=4
3.792690190732246e-7 	 1.5040257253195992e-14 	 3.965590780377504e-8 	 0.1045587849507918 	 275685.0143106597 	 7.268851407486934e11
4.0412553329506e-7 	 1.814927449392877e-14 	 4.4909992065949536e-8 	 0.11112881608784632 	 274985.8816931248 	 6.804466905394769e11
4.306110925171174e-7 	 2.1900966127821928e-14 	 5.086019962885961e-8 	 0.11811168015101202 	 274288.5220642962 	 6.369750497158705e11
4.5883246101008495e-7 	 2.642818132991789e-14 	 5.759876115072209e-8 	 0.12553331781261243 	 273592.9309279041 	 5.96280677974723e11
4.889034001561443e-7 	 3.1891230931577086e-14 	 6.52301270995288e-8 	 0.1334212997469353 	 272899.1037990811 	 5.581861441583829e11
5.209451270253212e-7 	 3.848356410283281e-14 	 7.387258677815076e-8 	 0.1418049290526526 	 272207.03620433324 	 5.225253526387287e11
5.550868030059811e-7 	 4.6438618478989045e-14 	 8.366010185705797e-8 	 0.15071535011102855 	 271516.7236815114 	 4.891428191251483e11
5.914660544591745e-7 	 5.603808629768633e-14 	 9.474438283516795e-8 	 0.1601856642843188 	 270828.1617797822 	 4.578929927389027e11
6.302295274956023e-7 	 6.762188925425853e-14 	 1.0729724061481773e-7 	 0.1702510528841676 	 270141.34605959983 	 4.2863962139807043e11
6.715334791115149e-7 	 8.160021528972167e-14 	 1.2151324964123066e-7 	 0.18094890786681414 	 269456.2720926766 	 4.0125515774609753e11
7.155444070664575e-7 	 9.846804353975594e-14 	 1.3761276388623987e-7 	 0.19231897074063617 	 268772.9354619555 	 3.756202030337338e11
7.624397210419138e-7 	 1.1882267177999257e-13 	 1.5584533242525084e-7 	 0.20440348020205457 	 268091.3317615804 	 3.5162298652963617e11
8.124084577862974e-7 	 1.4338486702272546e-13 	 1.7649356755028097e-7 	 0.21724732904824987 	 267411.4565968691 	 3.2915887818983203e11
8.656520431290936e-7 	 1.7302438821768946e-13 	 1.9987752537642494e-7 	 0.23089823094961198 	 266733.30558428366 	 3.081299324612188e11
9.223851039358476e-7 	 2.0879078482780928e-13 	 2.2635966684294022e-7 	 0.24540689770146554 	 266056.874351403 	 2.884444612300541e11
9.82836333277003e-7 	 2.519505618720382e-13 	 2.5635047600649534e-7 	 0.2608272276135374 	 265382.1585368942 	 2.700166340534531e11
1.0472494122981497e-6 	 3.0403235937275465e-13 	 2.903151396433511e-7 	 0.27721680836875845 	 264709.44276819075 	 2.5276637987057526e11
1.1158839925077481e-6 	 3.668793369318091e-13 	 3.287791019452783e-7 	 0.29463555723781515 	 264037.8025099857 	 2.366176092522022e11
1.18901674244199e-6 	 4.427181526201646e-13 	 3.723397129891668e-7 	 0.3131492599712763 	 263368.25108798186 	 2.2150087689015967e11
1.2669424629259076e-6 	 5.342337805477533e-13 	 4.216716987399577e-7 	 0.3328262419795599 	 262700.3606864064 	 2.0734987449999884e11
1.3499752754264296e-6 	 6.446668673400719e-13 	 4.775397587459035e-7 	 0.35373963319073265 	 262034.15694335106 	 1.941029304115069e11
1.438449888287663e-6 	 7.779279184328684e-13 	 5.408098848399351e-7 	 0.375967136042339 	 261369.64457614295 	 1.8170229404882397e11
1.532722945952615e-6 	 9.387357661731836e-13 	 6.124627863450835e-7 	 0.39959132076829895 	 260706.81712143726 	 1.7009389584064932e11
1.6331744666101668e-6 	 1.1327846909153478e-12 	 6.936091116257573e-7 	 0.42469994835604996 	 260045.6699752118 	 1.5922712195896936e11
1.740209374062485e-6 	 1.3669460599219813e-12 	 7.855066639084194e-7 	 0.4513862961642767 	 259386.19966775845 	 1.490545928173151e11
1.8542591299878541e-6 	 1.6495116336973577e-12 	 8.895798904375153e-7 	 0.4797494999759512 	 258728.40112648858 	 1.395319548073e11
1.9757834731786993e-6 	 1.9904871931503055e-12 	 1.0074419693105087e-6 	 0.5098949267399764 	 258072.27039896342 	 1.3061768857888513e11
2.105272272765707e-6 	 2.4019468446318746e-12 	 1.1409198115151275e-6 	 0.5419345641294631 	 257417.8034547146 	 1.2227292725256076e11
2.2432475028984204e-6 	 2.8984605605008063e-12 	 1.292082374662541e-6 	 0.5759874347316055 	 256764.99538610547 	 1.1446128661877415e11
2.3902653468423896e-6 	 3.4976101291858887e-12 	 1.463272742420139e-6 	 0.6121800428363174 	 256113.84260957682 	 1.0714870754743222e11
2.54691843897454e-6 	 4.220611710601946e-12 	 1.6571444322737253e-6 	 0.6506468393000199 	 255464.34049218646 	 1.0030330637326707e11
2.71383825371428e-6 	 5.093067119841238e-12 	 1.8767025311367174e-6 	 0.6915307235308437 	 254816.48458023756 	 9.389523647235953e10
2.8916976510203024e-6 	 6.14587041677605e-12 	 2.1253502815578076e-6 	 0.7349835764495994 	 254170.27129038505 	 8.789655834201892e10
3.081213588714002e-6 	 7.416301830024619e-12 	 2.406941815779782e-6 	 0.7811668183588534 	 253525.69559609366 	 8.228111693545627e10
3.283150012563047e-6 	 8.949347920676777e-12 	 2.725841915974567e-6 	 0.8302520157604957 	 252882.7536309696 	 7.702442857113081e10
3.4983209357750397e-6 	 1.0799294547915168e-11 	 3.0869936595804715e-6 	 0.8824215148506835 	 252241.44126593304 	 7.210357365627173e10
3.727593720314938e-6 	 1.3031649121753804e-11 	 3.495995030448968e-6 	 0.9378691168504268 	 251601.75362973512 	 6.7497096654749626e10
